100
1	59.713	44.938
2	97.164	72.736
3	80.218	17.885
4	7.225	91.579
5	9.034	35.708
6	33.203	20.105
7	59.585	76.252
8	52.825	83.553
9	93.927	14.266
10	47.629	64.814
11	62.964	26.562
12	26.293	52.458
13	15.558	83.791
14	58.973	63.955
15	61.616	25.255
16	76.605	67.675
17	30.393	23.931
18	93.238	36.404
19	94.332	87.712
20	33.287	89.093
21	40.316	33.687
22	9.172	81.107
23	13.371	37.906
24	56.607	8.876
25	7.277	10.117
26	34.635	16.356
27	3.973	67.606
28	69.107	64.899
29	55.681	66.563
30	4.04	36.947
31	10.004	12.366
32	30.947	3.335
33	53.72	98.342
34	20.777	39.155
35	60.499	76.181
36	16.846	69.632
37	35.682	91.495
38	9.916	28.817
39	70.237	92.964
40	7.369	66.08
41	10.103	94.114
42	37.911	79.102
43	68.378	21.935
44	32.261	25.945
45	92.588	62.273
46	69.35	69.414
47	10.205	33.539
48	1.926	9.99
49	73.193	66.681
50	55.638	15.042
51	54.201	95.829
52	49.092	16.845
53	71.438	18.539
54	76.675	12.48
55	8.467	78.896
56	32.113	58.873
57	63.972	19.986
58	23.27	59.151
59	11.966	90.479
60	74.042	7.855
61	99.555	77.218
62	82.285	90.217
63	71.667	85.709
64	89.248	7.122
65	42.876	36.279
66	30.703	23.75
67	64.929	67.744
68	85.4	20.118
69	41.912	10.911
70	67.399	41.564
71	15.325	85.576
72	17.951	31.641
73	43.868	94.998
74	7.463	6.099
75	82.121	64.371
76	1.84	81.027
77	35.089	21.462
78	52.924	58.581
79	94.779	1.139
80	67.869	52.14
81	67.664	66.981
82	15.73	31.49
83	0.883	33.598
84	41.0	44.035
85	2.147	48.723
86	50.425	3.397
87	3.599	73.774
88	10.193	93.374
89	50.435	78.062
90	55.876	40.393
91	26.601	67.046
92	26.952	38.856
93	91.212	68.67
94	83.329	37.071
95	40.416	12.606
96	10.688	30.682
97	99.182	30.721
98	69.908	3.391
99	81.859	28.209
100	62.209	79.106
